Cryptocurrency,Arbitrage data,Indexes
bnb,"defaultdict(<class 'list'>, {'nonkyc': [0.48, 0.44, 0.41, 0.32, 0.31, 0.3, 0.29, 0.29, 0.27, 0.26, 0.26, 0.25], 'xeggex': [0.46, 0.42, 0.39, 0.3, 0.29, 0.28, 0.26, 0.26, 0.25, 0.24, 0.24, 0.23], 'gateio': [0.37, 0.33, 0.3, 0.21, 0.19, 0.19, 0.17, 0.17, 0.15, 0.15, 0.14, 0.13], 'mxc': [0.35, 0.31, 0.28, 0.19, 0.18, 0.17, 0.15, 0.15, 0.14, 0.13, 0.13, 0.12], 'bitrue': [0.32, 0.28, 0.25, 0.15, 0.14, 0.14, 0.12, 0.12, 0.1, 0.1, 0.09, 0.08], 'poloniex': [0.28, 0.24, 0.21, 0.12, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06, 0.05, 0.04], 'btse': [0.28, 0.24, 0.21, 0.11, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06, 0.05, 0.04], 'bitmart': [0.27, 0.23, 0.2, 0.11, 0.1, 0.09, 0.07, 0.07, 0.06, 0.05, 0.04, 0.04], 'kucoin': [0.27, 0.23, 0.2, 0.11, 0.09, 0.09, 0.07, 0.07, 0.05, 0.05, 0.04, 0.03], 'bingx': [0.26, 0.22, 0.19, 0.1, 0.09, 0.08, 0.07, 0.07, 0.05, 0.04, 0.04, 0.03], 'bitget': [0.26, 0.22, 0.19, 0.1, 0.09, 0.08, 0.07, 0.07, 0.05, 0.04, 0.04, 0.03], 'okx': [0.25, 0.21, 0.18, 0.09, 0.07, 0.07, 0.05, 0.05, 0.03, 0.03, 0.02, 0.01]})","latoken,binance-us,cryptology,bydfi,tidex,bitmax,phemex-spot,binance,digifinex,bybit-spot,huobipro,bigone"
solana,"defaultdict(<class 'list'>, {'exmo': [1.4, 1.16, 1.15, 1.11, 1.1, 1.09, 1.08, 1.08, 1.06, 1.04, 1.03, 0.58], 'kucoin': [0.95, 0.71, 0.7, 0.66, 0.65, 0.65, 0.63, 0.63, 0.61, 0.59, 0.58, 0.3], 'bitmart': [0.67, 0.43, 0.42, 0.38, 0.37, 0.37, 0.35, 0.35, 0.33, 0.31, 0.3, 0.21], 'crypto-com': [0.58, 0.35, 0.33, 0.3, 0.28, 0.28, 0.26, 0.26, 0.25, 0.23, 0.21, 0.15], 'binance-us': [0.52, 0.28, 0.27, 0.23, 0.22, 0.21, 0.2, 0.2, 0.18, 0.16, 0.15, 0.13], 'mxc': [0.5, 0.27, 0.25, 0.21, 0.2, 0.2, 0.18, 0.18, 0.16, 0.14, 0.13, 0.08], 'okx': [0.46, 0.22, 0.2, 0.17, 0.16, 0.15, 0.13, 0.13, 0.12, 0.1, 0.08, 0.08], 'kraken': [0.45, 0.21, 0.2, 0.16, 0.15, 0.15, 0.13, 0.13, 0.11, 0.09, 0.08, 0.06], 'huobipro': [0.44, 0.2, 0.18, 0.15, 0.14, 0.13, 0.11, 0.11, 0.1, 0.08, 0.06, 0.06], 'bitso': [0.43, 0.2, 0.18, 0.15, 0.13, 0.13, 0.11, 0.11, 0.09, 0.08, 0.06, 0.0], 'bydfi': [0.37, 0.14, 0.12, 0.09, 0.08, 0.07, 0.05, 0.05, 0.04, 0.02, 0.0, 0.0], 'coinbasepro': [0.37, 0.14, 0.12, 0.09, 0.08, 0.07, 0.05, 0.05, 0.04, 0.02, 1.03, 0.0]})","coinlist,coinex,bitget,binance,bybit-spot,lbank,phemex-spot,bingx,gateio,bitmax,coinbasepro,bydfi"
lido-staked-ether,"defaultdict(<class 'list'>, {'gateio': [0.43, 0.37, 0.17, 0.02, -0.1, -0.23, -0.43, 0.0], 'latoken': [0.43, 0.23, 0.1, -0.07, -0.15, -0.28, -0.003, 0.0], 'bybit-spot': [0.28, 0.15, 0.07, -0.13, -0.21, 0.003, -0.15, 0.0], 'huobipro': [0.21, 0.13, -0.06, -0.19, 0.15, -0.14, -0.22, 0.0], 'bitget': [0.19, 0.06, -0.12, 0.22, 0.14, -0.22, -0.24, 0.0], 'mxc': [0.12, -0.06, 0.24, 0.22, -0.07, -0.24, -0.32, 0.0], 'okx': [0.06, 0.31, 0.24, 0.07, -0.09, -0.31, -0.37, 0.0], 'bingx': [0.37, 0.31, 0.09, -0.02, -0.17, -0.37, -0.43, 0.0]})","bingx,okx,mxc,bitget,huobipro,bybit-spot,latoken,gateio"
ripple,"defaultdict(<class 'list'>, {'fatbtc': [24.2, 22.5, 22.4, 22.4, 22.4, 22.2, 22.2, 22.2, 22.1, 22.1, 22.1, 22.1], 'bitmax': [3.0, 0.82, 0.74, 0.68, 0.68, 0.5, 0.46, 0.44, 0.4, 0.39, 0.39, 0.37], 'crypto-com': [2.97, 0.79, 0.7, 0.65, 0.64, 0.46, 0.42, 0.4, 0.37, 0.36, 0.35, 0.33], 'probit': [2.91, 0.73, 0.64, 0.59, 0.58, 0.4, 0.36, 0.34, 0.31, 0.3, 0.29, 0.27], 'bitget': [2.89, 0.71, 0.63, 0.57, 0.56, 0.38, 0.35, 0.32, 0.29, 0.28, 0.27, 0.25], 'huobipro': [2.88, 0.69, 0.61, 0.55, 0.55, 0.37, 0.33, 0.31, 0.27, 0.26, 0.26, 0.24], 'fastex': [2.84, 0.66, 0.57, 0.51, 0.51, 0.33, 0.29, 0.27, 0.23, 0.22, 0.22, 0.2], 'bingx': [2.8, 0.62, 0.54, 0.48, 0.47, 0.29, 0.25, 0.23, 0.2, 0.19, 0.18, 0.16], 'binance-us': [2.8, 0.62, 0.54, 0.48, 0.47, 0.29, 0.25, 0.23, 0.2, 0.19, 0.18, 0.16], 'kraken': [2.79, 0.6, 0.52, 0.46, 0.46, 0.28, 0.24, 0.22, 0.18, 0.17, 0.17, 0.15], 'oceanex': [2.74, 0.56, 0.48, 0.42, 0.42, 0.23, 0.2, 0.17, 0.14, 0.13, 0.12, 0.11], 'phemex-spot': [2.73, 0.55, 0.46, 0.4, 0.4, 0.22, 0.18, 0.16, 0.12, 0.11, 0.11, 0.09]})","cex,coinbasepro,coinsbit,xeggex,btcturk-pro,bybit-spot,binance,kucoin,bitstamp,tidex,bydfi,okx"
dogecoin,"defaultdict(<class 'list'>, {'xeggex': [1.1, 0.87, 0.87, 0.87, 0.86, 0.74, 0.72, 0.71, 0.71, 0.69, 0.69, 0.67], 'yobit': [1.05, 0.82, 0.82, 0.82, 0.81, 0.69, 0.67, 0.66, 0.66, 0.65, 0.64, 0.62], 'bydfi': [1.03, 0.8, 0.8, 0.8, 0.79, 0.67, 0.65, 0.64, 0.63, 0.62, 0.61, 0.6], 'binance-us': [0.9, 0.67, 0.66, 0.66, 0.66, 0.54, 0.51, 0.5, 0.5, 0.49, 0.48, 0.46], 'coinbasepro': [0.82, 0.59, 0.58, 0.58, 0.58, 0.46, 0.43, 0.42, 0.42, 0.41, 0.4, 0.38], 'oceanex': [0.79, 0.56, 0.56, 0.55, 0.55, 0.43, 0.4, 0.4, 0.39, 0.38, 0.37, 0.36], 'mxc': [0.78, 0.55, 0.54, 0.54, 0.54, 0.42, 0.39, 0.38, 0.38, 0.37, 0.36, 0.34], 'bitmax': [0.74, 0.51, 0.5, 0.5, 0.5, 0.38, 0.35, 0.34, 0.34, 0.33, 0.32, 0.3], 'crypto-com': [0.73, 0.5, 0.5, 0.49, 0.49, 0.37, 0.34, 0.34, 0.33, 0.32, 0.31, 0.3], 'bitget': [0.72, 0.49, 0.49, 0.48, 0.48, 0.36, 0.33, 0.33, 0.32, 0.31, 0.3, 0.29], 'fastex': [0.56, 0.33, 0.33, 0.33, 0.32, 0.2, 0.18, 0.17, 0.16, 0.15, 0.14, 0.13], 'bingx': [0.49, 0.26, 0.26, 0.25, 0.25, 0.13, 0.1, 0.1, 0.09, 0.08, 0.07, 0.06]})","btcturk-pro,exmo,bigone,tidex,lbank,binance,digifinex,phemex-spot,fmfwio,kraken,coinw,bybit-spot"
toncoin,"defaultdict(<class 'list'>, {'bitmax': [0.37, 0.29, 0.28, 0.26, 0.26, 0.25, 0.24, 0.23, 0.16, 0.07, 0.05, 0.05], 'kucoin': [0.31, 0.22, 0.22, 0.2, 0.19, 0.18, 0.18, 0.16, 0.09, 0.05, 0.05, 0.04], 'crypto-com': [0.23, 0.15, 0.15, 0.12, 0.12, 0.11, 0.1, 0.09, 0.07, 0.05, 0.04, 0.01], 'coinsbit': [0.22, 0.13, 0.13, 0.11, 0.1, 0.09, 0.08, 0.07, 0.06, 0.04, 0.01, 0.0], 'bigone': [0.21, 0.13, 0.12, 0.1, 0.09, 0.09, 0.08, 0.07, 0.06, 0.01, 0.0, 0.0], 'bybit-spot': [0.2, 0.12, 0.12, 0.09, 0.09, 0.08, 0.07, 0.06, 0.03, 0.0, 0.0, -0.01], 'gateio': [0.18, 0.09, 0.09, 0.07, 0.06, 0.05, 0.04, 0.03, 0.01, 0.0, -0.01, -0.02], 'lbank': [0.16, 0.08, 0.07, 0.05, 0.05, 0.04, 0.03, 0.02, 0.01, -0.01, -0.02, 0.0], 'bingx': [0.16, 0.08, 0.07, 0.05, 0.05, 0.04, 0.03, 0.02, 0.01, -0.02, 0.21, 0.0], 'bitmart': [0.16, 0.08, 0.07, 0.05, 0.05, 0.04, 0.03, 0.02, -0.01, 0.21, 0.15, 0.0], 'coinex': [0.15, 0.07, 0.06, 0.04, 0.03, 0.03, 0.02, 0.01, 0.21, 0.15, 0.07, 0.0], 'bitget': [0.14, 0.06, 0.06, 0.03, 0.03, 0.02, 0.01, 0.22, 0.15, 0.07, 0.05, 0.0]})","huobipro,okx,bitrue,mxc,exmo,coinw,cryptology,bitget,coinex,bitmart,bingx,lbank"
cardano,"defaultdict(<class 'list'>, {'coinsbit': [1.85, 1.47, 1.43, 1.11, 1.08, 1.06, 1.04, 1.04, 1.02, 1.02, 1.01, 1.0], 'bitmax': [1.33, 0.94, 0.9, 0.58, 0.56, 0.54, 0.52, 0.52, 0.5, 0.49, 0.48, 0.48], 'xeggex': [1.26, 0.87, 0.83, 0.51, 0.49, 0.47, 0.44, 0.44, 0.43, 0.42, 0.41, 0.41], 'bydfi': [1.02, 0.63, 0.59, 0.27, 0.25, 0.23, 0.2, 0.2, 0.19, 0.18, 0.17, 0.17], 'coinbasepro': [1.02, 0.63, 0.59, 0.27, 0.25, 0.23, 0.2, 0.2, 0.19, 0.18, 0.17, 0.17], 'gateio': [0.97, 0.59, 0.55, 0.23, 0.2, 0.18, 0.16, 0.16, 0.14, 0.14, 0.13, 0.12], 'bitrue': [0.97, 0.59, 0.55, 0.23, 0.2, 0.18, 0.16, 0.16, 0.14, 0.14, 0.13, 0.12], 'bitget': [0.95, 0.56, 0.52, 0.2, 0.18, 0.15, 0.13, 0.13, 0.11, 0.11, 0.1, 0.09], 'mxc': [0.93, 0.54, 0.5, 0.18, 0.16, 0.14, 0.11, 0.11, 0.09, 0.09, 0.08, 0.08], 'oceanex': [0.93, 0.54, 0.5, 0.18, 0.16, 0.13, 0.11, 0.11, 0.09, 0.09, 0.08, 0.07], 'crypto-com': [0.91, 0.52, 0.48, 0.16, 0.14, 0.11, 0.09, 0.09, 0.07, 0.07, 0.06, 0.05], 'binance-us': [0.91, 0.52, 0.48, 0.16, 0.14, 0.11, 0.09, 0.09, 0.07, 0.07, 0.06, 0.05]})","btcturk-pro,exmo,tidex,binance,bybit-spot,phemex-spot,bingx,kucoin,kraken,okx,btse,huobipro"
shiba-inu,"defaultdict(<class 'list'>, {'p2pb2b': [1.35, 1.09, 1.08, 1.04, 1.0, 1.0, 0.95, 0.95, 0.92, 0.9, 0.89, 0.82], 'fastex': [1.35, 1.09, 1.08, 1.04, 1.0, 1.0, 0.95, 0.95, 0.92, 0.9, 0.89, 0.82], 'kucoin': [1.34, 1.08, 1.07, 1.03, 0.99, 0.99, 0.94, 0.94, 0.91, 0.89, 0.88, 0.81], 'coinex': [1.31, 1.05, 1.04, 1.0, 0.96, 0.96, 0.91, 0.91, 0.88, 0.86, 0.84, 0.78], 'binance-us': [1.3, 1.04, 1.03, 0.99, 0.95, 0.95, 0.9, 0.9, 0.87, 0.85, 0.84, 0.77], 'kraken': [1.25, 0.99, 0.98, 0.94, 0.9, 0.9, 0.85, 0.85, 0.82, 0.8, 0.79, 0.72], 'btcturk-pro': [1.2, 0.94, 0.93, 0.89, 0.85, 0.85, 0.8, 0.8, 0.77, 0.75, 0.74, 0.67], 'crypto-com': [1.11, 0.85, 0.84, 0.8, 0.76, 0.76, 0.71, 0.71, 0.68, 0.66, 0.65, 0.58], 'huobipro': [1.05, 0.79, 0.78, 0.74, 0.7, 0.7, 0.65, 0.65, 0.62, 0.6, 0.59, 0.52], 'mxc': [1.05, 0.79, 0.78, 0.74, 0.7, 0.7, 0.65, 0.65, 0.62, 0.6, 0.59, 0.52], 'okx': [1.04, 0.78, 0.77, 0.73, 0.69, 0.69, 0.64, 0.64, 0.61, 0.59, 0.58, 0.51], 'gateio': [0.95, 0.69, 0.68, 0.64, 0.6, 0.6, 0.55, 0.55, 0.52, 0.5, 0.49, 0.42]})","bitmax,coinw,cryptology,bitget,probit,bingx,exmo,coinbasepro,digifinex,binance,bigone,bybit-spot"
avalanche,"defaultdict(<class 'list'>, {'coinsbit': [0.86, 0.83, 0.83, 0.79, 0.79, 0.76, 0.76, 0.76, 0.76, 0.76, 0.72, 0.72], 'coinlist': [0.65, 0.62, 0.62, 0.58, 0.58, 0.55, 0.55, 0.55, 0.55, 0.55, 0.51, 0.51], 'latoken': [0.62, 0.59, 0.59, 0.55, 0.55, 0.52, 0.51, 0.51, 0.51, 0.51, 0.48, 0.48], 'xeggex': [0.58, 0.54, 0.54, 0.5, 0.5, 0.48, 0.47, 0.47, 0.47, 0.47, 0.43, 0.43], 'poloniex': [0.55, 0.52, 0.52, 0.48, 0.48, 0.45, 0.45, 0.45, 0.45, 0.45, 0.41, 0.41], 'coinbasepro': [0.54, 0.5, 0.5, 0.47, 0.47, 0.44, 0.43, 0.43, 0.43, 0.43, 0.4, 0.4], 'bydfi': [0.5, 0.47, 0.47, 0.43, 0.43, 0.4, 0.4, 0.4, 0.4, 0.4, 0.36, 0.36], 'gateio': [0.43, 0.4, 0.4, 0.36, 0.36, 0.33, 0.32, 0.32, 0.32, 0.32, 0.29, 0.29], 'mxc': [0.33, 0.29, 0.29, 0.25, 0.25, 0.22, 0.22, 0.22, 0.22, 0.22, 0.18, 0.18], 'kraken': [0.29, 0.25, 0.25, 0.22, 0.22, 0.19, 0.18, 0.18, 0.18, 0.18, 0.15, 0.14], 'crypto-com': [0.27, 0.23, 0.23, 0.2, 0.2, 0.17, 0.16, 0.16, 0.16, 0.16, 0.12, 0.12], 'nonkyc': [0.25, 0.21, 0.21, 0.18, 0.18, 0.15, 0.14, 0.14, 0.14, 0.14, 0.1, 0.1]})","btcturk-pro,lbank,tidex,probit,binance,digifinex,binance-us,bingx,bitmax,bigone,bitmart,huobipro"
chainlink,"defaultdict(<class 'list'>, {'coinbasepro': [0.76, 0.53, 0.5, 0.5, 0.49, 0.48, 0.44, 0.43, 0.4, 0.38, 0.38, 0.35], 'poloniex': [0.71, 0.48, 0.45, 0.45, 0.43, 0.42, 0.38, 0.37, 0.35, 0.33, 0.32, 0.3], 'binance-us': [0.69, 0.46, 0.43, 0.43, 0.42, 0.41, 0.37, 0.36, 0.33, 0.31, 0.31, 0.28], 'bydfi': [0.66, 0.43, 0.4, 0.4, 0.38, 0.37, 0.33, 0.32, 0.3, 0.28, 0.27, 0.25], 'gateio': [0.65, 0.42, 0.39, 0.39, 0.38, 0.37, 0.33, 0.32, 0.29, 0.27, 0.26, 0.24], 'crypto-com': [0.58, 0.35, 0.32, 0.32, 0.31, 0.3, 0.26, 0.25, 0.22, 0.2, 0.19, 0.17], 'oceanex': [0.56, 0.33, 0.3, 0.29, 0.28, 0.27, 0.23, 0.22, 0.19, 0.17, 0.17, 0.15], 'bitrue': [0.54, 0.31, 0.28, 0.28, 0.26, 0.25, 0.22, 0.2, 0.18, 0.16, 0.15, 0.13], 'kraken': [0.53, 0.3, 0.27, 0.26, 0.25, 0.24, 0.2, 0.19, 0.16, 0.14, 0.14, 0.12], 'bitget': [0.46, 0.23, 0.2, 0.2, 0.18, 0.17, 0.13, 0.12, 0.1, 0.08, 0.07, 0.05], 'kucoin': [0.43, 0.19, 0.17, 0.16, 0.15, 0.14, 0.1, 0.09, 0.06, 0.04, 0.04, 0.01], 'okx': [0.42, 0.19, 0.16, 0.16, 0.15, 0.14, 0.1, 0.09, 0.06, 0.04, 0.03, 0.01]})","exmo,fmfwio,probit,btcturk-pro,binance,nonkyc,phemex-spot,coinw,bybit-spot,bitmax,bingx,coinex"
tron,"defaultdict(<class 'list'>, {'xeggex': [4.26, 1.81, 0.97, 0.97, 0.96, 0.95, 0.94, 0.92, 0.92, 0.92, 0.91, 0.9], 'nonkyc': [3.56, 1.09, 0.25, 0.24, 0.24, 0.22, 0.21, 0.19, 0.19, 0.19, 0.18, 0.18], 'latoken': [3.48, 1.01, 0.16, 0.16, 0.15, 0.14, 0.13, 0.11, 0.11, 0.11, 0.1, 0.09], 'btcalpha': [3.47, 0.99, 0.15, 0.15, 0.14, 0.12, 0.12, 0.09, 0.09, 0.09, 0.09, 0.08], 'btcturk-pro': [3.45, 0.97, 0.13, 0.12, 0.12, 0.1, 0.09, 0.07, 0.07, 0.07, 0.07, 0.06], 'btse': [3.43, 0.95, 0.11, 0.1, 0.1, 0.08, 0.07, 0.05, 0.05, 0.05, 0.04, 0.04], 'poloniex': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01], 'bybit-spot': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01], 'coinw': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01], 'kucoin': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01], 'phemex-spot': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01], 'fastex': [3.4, 0.93, 0.08, 0.08, 0.07, 0.06, 0.05, 0.03, 0.03, 0.03, 0.02, 0.01]})","fatbtc,upbit,coinex,cryptology,bitmax,tidex,probit,bydfi,bitrue,huobipro,gateio,mxc"
bitcoin-cash,"defaultdict(<class 'list'>, {'bybit-spot': [5.23, 3.93, 0.99, 0.98, 0.9, 0.88, 0.88, 0.88, 0.85, 0.78, 0.7, 0.57], 'gateio': [5.01, 3.71, 0.76, 0.75, 0.67, 0.65, 0.65, 0.65, 0.62, 0.55, 0.47, 0.34], 'bydfi': [4.97, 3.67, 0.72, 0.7, 0.63, 0.6, 0.6, 0.6, 0.58, 0.5, 0.43, 0.3], 'oceanex': [4.87, 3.56, 0.61, 0.6, 0.52, 0.5, 0.5, 0.5, 0.47, 0.4, 0.32, 0.19], 'nonkyc': [4.85, 3.55, 0.6, 0.58, 0.51, 0.48, 0.48, 0.48, 0.46, 0.38, 0.31, 0.18], 'crypto-com': [4.84, 3.54, 0.58, 0.57, 0.5, 0.47, 0.47, 0.47, 0.44, 0.37, 0.29, 0.16], 'binance-us': [4.83, 3.52, 0.57, 0.55, 0.48, 0.45, 0.45, 0.45, 0.43, 0.35, 0.28, 0.15], 'bitrue': [4.81, 3.5, 0.55, 0.54, 0.46, 0.44, 0.43, 0.43, 0.41, 0.34, 0.26, 0.13], 'bitget': [4.8, 3.5, 0.54, 0.53, 0.45, 0.43, 0.43, 0.43, 0.4, 0.33, 0.25, 0.12], 'bitmax': [4.78, 3.47, 0.52, 0.5, 0.43, 0.4, 0.4, 0.4, 0.38, 0.3, 0.23, 0.1], 'huobipro': [4.75, 3.45, 0.49, 0.48, 0.4, 0.38, 0.38, 0.38, 0.35, 0.28, 0.2, 0.07], 'fastex': [4.75, 3.45, 0.49, 0.48, 0.4, 0.38, 0.38, 0.38, 0.35, 0.28, 0.2, 0.07]})","upbit,cex,exmo,tidex,probit,digifinex,coinw,binance,phemex-spot,bingx,kraken,xeggex"
polkadot,"defaultdict(<class 'list'>, {'kucoin': [2.6, 0.47, 0.43, 0.34, 0.29, 0.24, 0.21, 0.2, 0.2, 0.18, 0.18, 0.18], 'tidex': [2.57, 0.45, 0.4, 0.31, 0.26, 0.22, 0.19, 0.17, 0.17, 0.16, 0.16, 0.15], 'bydfi': [2.53, 0.4, 0.35, 0.26, 0.22, 0.17, 0.14, 0.13, 0.12, 0.11, 0.11, 0.11], 'bybit-spot': [2.5, 0.37, 0.32, 0.23, 0.19, 0.14, 0.11, 0.1, 0.09, 0.08, 0.08, 0.08], 'kraken': [2.48, 0.35, 0.3, 0.21, 0.17, 0.12, 0.09, 0.08, 0.07, 0.06, 0.06, 0.06], 'crypto-com': [2.46, 0.33, 0.28, 0.19, 0.14, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04], 'binance': [2.45, 0.32, 0.28, 0.19, 0.14, 0.09, 0.06, 0.05, 0.05, 0.03, 0.03, 0.03], 'p2pb2b': [2.45, 0.32, 0.28, 0.19, 0.14, 0.09, 0.06, 0.05, 0.05, 0.03, 0.03, 0.03], 'fastex': [2.45, 0.32, 0.28, 0.19, 0.14, 0.09, 0.06, 0.05, 0.05, 0.03, 0.03, 0.03], 'coinex': [2.43, 0.3, 0.26, 0.17, 0.12, 0.07, 0.04, 0.03, 0.03, 0.01, 0.01, 0.01], 'coinlist': [2.43, 0.3, 0.26, 0.17, 0.12, 0.07, 0.04, 0.03, 0.03, 0.01, 0.01, 0.01], 'okx': [2.42, 0.29, 0.25, 0.16, 0.11, 0.06, 0.03, 0.02, 0.02, 0.003, 0.002, 0.0]})","xeggex,binance-us,coinbasepro,exmo,phemex-spot,bingx,gateio,bitget,btcturk-pro,huobipro,bitmax,cryptology"
near-protocol,"defaultdict(<class 'list'>, {'coinbasepro': [0.79, 0.66, 0.66, 0.64, 0.62, 0.61, 0.61, 0.6, 0.56, 0.56, 0.51, 0.39], 'cryptology': [0.71, 0.58, 0.57, 0.55, 0.53, 0.52, 0.52, 0.51, 0.48, 0.47, 0.42, 0.37], 'binance': [0.69, 0.56, 0.56, 0.54, 0.52, 0.51, 0.51, 0.5, 0.46, 0.46, 0.41, 0.3], 'bybit-spot': [0.62, 0.49, 0.49, 0.47, 0.45, 0.44, 0.44, 0.43, 0.39, 0.39, 0.34, 0.28], 'exmo': [0.6, 0.47, 0.46, 0.45, 0.43, 0.42, 0.41, 0.4, 0.37, 0.36, 0.31, 0.27], 'binance-us': [0.59, 0.46, 0.45, 0.44, 0.42, 0.41, 0.41, 0.39, 0.36, 0.35, 0.31, 0.19], 'phemex-spot': [0.51, 0.38, 0.37, 0.35, 0.33, 0.32, 0.32, 0.31, 0.28, 0.27, 0.22, 0.12], 'bydfi': [0.44, 0.31, 0.3, 0.29, 0.27, 0.26, 0.25, 0.24, 0.21, 0.2, 0.15, 0.07], 'gateio': [0.39, 0.26, 0.25, 0.24, 0.22, 0.21, 0.2, 0.19, 0.16, 0.15, 0.1, 0.04], 'lbank': [0.36, 0.23, 0.22, 0.2, 0.18, 0.17, 0.17, 0.16, 0.13, 0.12, 0.07, -0.03], 'coinex': [0.32, 0.19, 0.18, 0.17, 0.15, 0.14, 0.13, 0.12, 0.09, 0.08, 0.03, 0.0], 'crypto-com': [0.29, 0.16, 0.15, 0.13, 0.11, 0.1, 0.1, 0.09, 0.06, 0.05, 0.47, 0.0]})","bitmax,kucoin,coinw,bingx,bitget,huobipro,okx,btse,fmfwio,mxc,crypto-com,coinex"
matic-network,"defaultdict(<class 'list'>, {'fatbtc': [47.4, 47.3, 47.3, 47.3, 47.3, 47.3, 47.3, 47.3, 47.3, 47.2, 47.2, 47.2], 'coinbasepro': [0.86, 0.8, 0.78, 0.75, 0.73, 0.73, 0.73, 0.71, 0.69, 0.66, 0.66, 0.64], 'phemex-spot': [0.73, 0.68, 0.66, 0.62, 0.6, 0.6, 0.6, 0.58, 0.57, 0.53, 0.53, 0.51], 'exmo': [0.7, 0.65, 0.63, 0.59, 0.57, 0.57, 0.57, 0.55, 0.54, 0.5, 0.5, 0.48], 'p2pb2b': [0.69, 0.64, 0.62, 0.58, 0.57, 0.56, 0.56, 0.55, 0.53, 0.49, 0.49, 0.48], 'cryptology': [0.68, 0.63, 0.61, 0.57, 0.56, 0.55, 0.55, 0.54, 0.52, 0.48, 0.48, 0.46], 'latoken': [0.62, 0.57, 0.55, 0.51, 0.5, 0.49, 0.49, 0.48, 0.46, 0.42, 0.42, 0.4], 'tidex': [0.6, 0.54, 0.53, 0.49, 0.47, 0.47, 0.47, 0.45, 0.43, 0.4, 0.4, 0.38], 'coinsbit': [0.59, 0.53, 0.51, 0.48, 0.46, 0.45, 0.45, 0.44, 0.42, 0.38, 0.38, 0.37], 'mxc': [0.55, 0.49, 0.48, 0.44, 0.42, 0.42, 0.42, 0.4, 0.38, 0.35, 0.35, 0.33], 'bydfi': [0.39, 0.33, 0.31, 0.27, 0.26, 0.25, 0.25, 0.24, 0.22, 0.18, 0.18, 0.17], 'bitrue': [0.39, 0.33, 0.31, 0.27, 0.26, 0.25, 0.25, 0.24, 0.22, 0.18, 0.18, 0.17]})","xeggex,gateio,kucoin,huobipro,binance-us,bigone,bitmax,kraken,crypto-com,okx,bybit-spot,coinex"
